label,job_title,complexity,results,accountability,ft_label
5,Agricultural Manager II ,manages and coordinates multiple projects and a variety of program activities oversees interpretation and enforcement of policies procedures laws and or regulations may make recommendations for procedural and or policy changes manages staff programs and administrative functions for assigned area applies expert or in depth knowledge of subject area frequent contacts with agriculture industry state agencies government officials and consumers to review industry compliance with laws regulationsmay have frequent contacts with faculty research staff and students to evaluate research programs and methodology ,"Management of resources, supplies, equipment, facilities and budget impact productivity and/or research findings or teaching objectives. Proper interpretation and application of State and Federal laws and regulations to enforce compliance affects the health, safety or economic wellbeing of consumers. Proper implementation of research projects impacts outcome of experiments. Actions and decisions directly impact public confidence, consumer satisfaction, and overall program success. ","Manages the inspection, regulation and/or quality control standards of agricultural products/services, or research/teaching programs. Exercises independent judgment within scope of authority to include assessment of penalties and appropriate actions for regulatory non-compliance or identification of critical marketing issues. Refers significantly complex issues to uppermanagement. Plans and directs work of others through effective leadership skills, communication, and conflict resolution skills. Makes recommendations for policy or legislative development and advises higher level management on industry trends. ",__label__5 manages and coordinates multiple projects and a variety of program activities oversees interpretation and enforcement of policies procedures laws and or regulations may make recommendations for procedural and or policy changes manages staff programs and administrative functions for assigned area applies expert or in depth knowledge of subject area frequent contacts with agriculture industry state agencies government officials and consumers to review industry compliance with laws regulationsmay have frequent contacts with faculty research staff and students to evaluate research programs and methodology 
4,Pilot I,requires knowledge of and skill in the operation of singleengine aircraft applies knowledge of faa rules and regulations and operation and general maintenance of aircraft may require knowledge of and skill in operation of applicable firearms frequent internal and external contacts with agency personnel law enforcement agents and faa and government to discuss flight plans or other technical and administrative issues ability to analyze weather and aircraft conditions and to make decisions regarding flights ability to conduct safe and efficient flights responsible for ensuring detailed operational safety and faa agency procedures are followed ,"Effective job performance results in the safe, successful, and timely completion of flight missions. Decisions have significant impact on the safety and success of the flight. Consequences of error and/or ineffective decisions could have significant impact and be costly in terms of time, money, resources, and passenger well-being. ","Demonstrates some independent judgment in ensuring operational, safety, agency, FAA and other regulatory procedures are followed. May refer complex issues to higher levels. Follows supervisory guidance to ensure that all expectations for the role are met. ",__label__4 requires knowledge of and skill in the operation of singleengine aircraft applies knowledge of faa rules and regulations and operation and general maintenance of aircraft may require knowledge of and skill in operation of applicable firearms frequent internal and external contacts with agency personnel law enforcement agents and faa and government to discuss flight plans or other technical and administrative issues ability to analyze weather and aircraft conditions and to make decisions regarding flights ability to conduct safe and efficient flights responsible for ensuring detailed operational safety and faa agency procedures are followed 
5,Pilot II, requires knowledge of skill in and the ability to operate multi engine aircraft applies knowledge of faa rules and regulations and operation and general maintenance of aircraft frequent internal and external contacts with agency personnel law enforcement agents and faa and government to discuss flights safety or other technical or administrative issues ability to analyze weather and aircraft conditions and to make decisions regarding flights ability to conduct safe and efficient flights responsible for ensuring detailed operational safety and faa agency procedures are followed ,"Effective job performance results in the safe, successful, and timely completion of flight missions. Decisions have significant impact on the safety and success of the flight.  Consequences of error and/or ineffective decisions could have significant impact and be costly in terms of time, money, resources, and passenger well-being. ","Demonstrates independent judgment based upon varying conditions. Resolves most complex problems and refers issues of the highest complexity to higher levels. May lead, instruct, direct and/or monitor the work of others. Follows supervisory guidance to ensure that all expectations for the role are met. ",__label__5 requires knowledge of skill in and the ability to operate multi engine aircraft applies knowledge of faa rules and regulations and operation and general maintenance of aircraft frequent internal and external contacts with agency personnel law enforcement agents and faa and government to discuss flights safety or other technical or administrative issues ability to analyze weather and aircraft conditions and to make decisions regarding flights ability to conduct safe and efficient flights responsible for ensuring detailed operational safety and faa agency procedures are followed 
6,Pilot III,ability to supervise agency aviation programs applies significant knowledge of and experience with principles and practices of aviation safety and flight operation management may serve as chief pilot and pilot in command of jet and multi engine turboprop aircraft frequent internal and external communication with federal and state officials to discuss various aviation programs and management issues may develop agency aviation policies and procedures ,"Effective job performance results in the safe, successful, and timely completion of flight missions. Consequences of error and/or ineffective decisions could have significant impact and be costly in terms of time, money, resources, and passengers’ well-being. Supervisory results measured by the performance of staff in meeting goals and objectives. ","Significant accountability for ensuring detailed operational, safety procedures are followed. Exercises significant independent judgment in the management of programs and pilots. Supervises, instructs, directs and monitors the work of others.  May have responsibility for providing training to agency staff. Work may be evaluated through the evaluation of aviation, safety, compliance, costs, and program management. Serves as an expert in resolving complex problems. ",__label__6 ability to supervise agency aviation programs applies significant knowledge of and experience with principles and practices of aviation safety and flight operation management may serve as chief pilot and pilot in command of jet and multi engine turboprop aircraft frequent internal and external communication with federal and state officials to discuss various aviation programs and management issues may develop agency aviation policies and procedures 
5,Architect/Engineer I,applies a broad and thorough knowledge of engineering or architectural principles mathematics physical and applied sciences properties of materials and fundamentals of design plans designs and coordinates engineering projects of varying types and complexity drafts designs details and modifies engineering plans reviews materials prepared by private architects engineers for compliance with codes and policies to maximize the efficiency of each project applies knowledge of departmental programs policies and applicable state and federal regulations sufficient to implement such and to represent such to public officials the general public and the private sector applies knowledge of principles of project management to administer projects activities uses concepts and principles of negotiation to achieve program project objectives advises internal and external contacts on engineering or architectural design development and agency standards and projects applies knowledge of project scoping process and value engineering applies knowledge of project planning principles licensure as specified by the code of virginia ,,,__label__5 applies a broad and thorough knowledge of engineering or architectural principles mathematics physical and applied sciences properties of materials and fundamentals of design plans designs and coordinates engineering projects of varying types and complexity drafts designs details and modifies engineering plans reviews materials prepared by private architects engineers for compliance with codes and policies to maximize the efficiency of each project applies knowledge of departmental programs policies and applicable state and federal regulations sufficient to implement such and to represent such to public officials the general public and the private sector applies knowledge of principles of project management to administer projects activities uses concepts and principles of negotiation to achieve program project objectives advises internal and external contacts on engineering or architectural design development and agency standards and projects applies knowledge of project scoping process and value engineering applies knowledge of project planning principles licensure as specified by the code of virginia 
5,Architecture/Engineering Manager I,manages activities ranging from a unit program or geographical area of an agency with multiple projects to ensure deadlines and budgets are met resolves conflicting project issues applies knowledge of specialty areas to oversight of complex projects applies knowledge of departmental programs policies and applicable state and federal regulations sufficient to implement such and to represent such to public officials public and the private sector applies knowledge of fiscal resource management sufficient to administer resources and operations applies concepts and principles of human resource management techniques to administer an operational program responsible for procurement of professional consulting services non professional services and construction services related to project completion licensure as specified by the code of virginia ,,,__label__5 manages activities ranging from a unit program or geographical area of an agency with multiple projects to ensure deadlines and budgets are met resolves conflicting project issues applies knowledge of specialty areas to oversight of complex projects applies knowledge of departmental programs policies and applicable state and federal regulations sufficient to implement such and to represent such to public officials public and the private sector applies knowledge of fiscal resource management sufficient to administer resources and operations applies concepts and principles of human resource management techniques to administer an operational program responsible for procurement of professional consulting services non professional services and construction services related to project completion licensure as specified by the code of virginia 
6,Architect/Engineer II,provides technical advice at an expert level for a specialty architectural engineering program or multi specialty programs serves as the statewide or district wide resource for a specialty architectural engineering program applies thorough knowledge of principles practices and procedures of architecture engineering to complex difficult and or unique assignments provides significant input into the development of policies and procedures related to specialty area assesses manpower needs to provide estimates of staffing for projects and programs conducts negotiations with a variety of parties on projects applies knowledge of quality control for review of projects applies knowledge of research methods prepares evaluates and effects project planing engineering and construction schedules to advance projects within timeframes develops and or reviews requests for design exceptions applies knowledge of development of narrative and statistical technical reports may require licensure as specified by the code of virginia ,,,__label__6 provides technical advice at an expert level for a specialty architectural engineering program or multi specialty programs serves as the statewide or district wide resource for a specialty architectural engineering program applies thorough knowledge of principles practices and procedures of architecture engineering to complex difficult and or unique assignments provides significant input into the development of policies and procedures related to specialty area assesses manpower needs to provide estimates of staffing for projects and programs conducts negotiations with a variety of parties on projects applies knowledge of quality control for review of projects applies knowledge of research methods prepares evaluates and effects project planing engineering and construction schedules to advance projects within timeframes develops and or reviews requests for design exceptions applies knowledge of development of narrative and statistical technical reports may require licensure as specified by the code of virginia 
6,Architecture/Engineering Manager II,performs work of unusual difficulty in managing through subordinate supervisors all programs operations and staff in assigned area applies knowledge of budget management human resource management and strategic planning in leading defined program or geographic area interprets highly technical specialized regulations monitors and evaluates activities and projects to ensure work is in compliance with state federal and agency policies and procedures applies knowledge of engineering or other specialty area and or business practices to resolve complex or political issues establishes policies guidelines and practices for engineering programs on an agency wide statewide or geographic area basis responds to legislative local government citizen consultant and others concerns to ensure understanding and gain cooperation directs changes in work procedures and processes serves on statewide and or nationwide state federal and local government committees and task forces representing the agency applies knowledge of contract management and negotiations in resolving highly complex and politically sensitive contract issues may require licensure as specified by the code of virginia ,,,__label__6 performs work of unusual difficulty in managing through subordinate supervisors all programs operations and staff in assigned area applies knowledge of budget management human resource management and strategic planning in leading defined program or geographic area interprets highly technical specialized regulations monitors and evaluates activities and projects to ensure work is in compliance with state federal and agency policies and procedures applies knowledge of engineering or other specialty area and or business practices to resolve complex or political issues establishes policies guidelines and practices for engineering programs on an agency wide statewide or geographic area basis responds to legislative local government citizen consultant and others concerns to ensure understanding and gain cooperation directs changes in work procedures and processes serves on statewide and or nationwide state federal and local government committees and task forces representing the agency applies knowledge of contract management and negotiations in resolving highly complex and politically sensitive contract issues may require licensure as specified by the code of virginia 
7,Architecture/Engineering Manager III,performs work of unusual difficulty in the executive level management of all major functions in assigned area directs through subordinate administrators all programs operations and staff in assigned area reviews the assessment of the effectiveness and efficiency of area operations to maximize the use of financial and human resources while completing quality projects within established time frames and financial constraints reviews the areas accomplishments toward agency objectives in order to determine operational effectiveness assigns the planning and implementation of new or revised programs and operational policies and procedures applies comprehensive knowledge of functional area to oversight of management serves on statewide and or nationwide state federal and local government committees and task forces representing the agency responds to high level legislative local government citizen consultant and others concerns to ensure understanding and gain cooperation applies comprehensive knowledge of business decision making to soundly manage business efforts applies knowledge of leadership and human resource management principles and practices licensure as specified by the code of virginia ,,,__label__7 performs work of unusual difficulty in the executive level management of all major functions in assigned area directs through subordinate administrators all programs operations and staff in assigned area reviews the assessment of the effectiveness and efficiency of area operations to maximize the use of financial and human resources while completing quality projects within established time frames and financial constraints reviews the areas accomplishments toward agency objectives in order to determine operational effectiveness assigns the planning and implementation of new or revised programs and operational policies and procedures applies comprehensive knowledge of functional area to oversight of management serves on statewide and or nationwide state federal and local government committees and task forces representing the agency responds to high level legislative local government citizen consultant and others concerns to ensure understanding and gain cooperation applies comprehensive knowledge of business decision making to soundly manage business efforts applies knowledge of leadership and human resource management principles and practices licensure as specified by the code of virginia 
8,Architecture/Engineering Manager IV,performs work of unusual difficulty in the executive management of multiple large scale preliminary engineering and transportation construction divisions and operations having statewide impact requires thorough knowledge of agency state and federal rules regulations policies and procedures related to engineering requires comprehensive knowledge of large scale organizational functions related to engineering projects and operations requires comprehensive knowledge of organizational planning and program evaluation requires professional engineer registration for signatory and decision making purposes relating to engineering documents and operations requires comprehensive knowledge of leadership and human resource management principles and practices respond to specific high level legislative local government citizen consultant and others concerns to ensure understanding and gain cooperation requires professional engineer pe registration ,,,__label__8 performs work of unusual difficulty in the executive management of multiple large scale preliminary engineering and transportation construction divisions and operations having statewide impact requires thorough knowledge of agency state and federal rules regulations policies and procedures related to engineering requires comprehensive knowledge of large scale organizational functions related to engineering projects and operations requires comprehensive knowledge of organizational planning and program evaluation requires professional engineer registration for signatory and decision making purposes relating to engineering documents and operations requires comprehensive knowledge of leadership and human resource management principles and practices respond to specific high level legislative local government citizen consultant and others concerns to ensure understanding and gain cooperation requires professional engineer pe registration 
4,Auditor I,conducts internal external tax health insurance data processing interstate or other auditing assignments provides assistance in determining audit objectives analyzes program requirements and participates in the development of audit procedures audits and analyzes data and the application of applicable professional principles and standards applies knowledge of accounting functions or principles general business transactions collection procedures and or applicable automated accounting systems requires knowledge of state and federal laws rules and regulations ability to research investigate analyze reconcile and evaluate data interacts frequently with internal and external customers using both verbal and written communication skills to discuss financial and or business processes or issues ,,,__label__4 conducts internal external tax health insurance data processing interstate or other auditing assignments provides assistance in determining audit objectives analyzes program requirements and participates in the development of audit procedures audits and analyzes data and the application of applicable professional principles and standards applies knowledge of accounting functions or principles general business transactions collection procedures and or applicable automated accounting systems requires knowledge of state and federal laws rules and regulations ability to research investigate analyze reconcile and evaluate data interacts frequently with internal and external customers using both verbal and written communication skills to discuss financial and or business processes or issues 
5,Auditor II,performs work of varied and considerable difficulty requiring advanced data collection analysis forecasting and report writing for internal external tax interstate health insurance and other auditing assignments knowledge of business management operational and financial principles professional auditing standards automated systems budgeting practices key program control points public administration and or legal and regulatory compliance on a state or multi state basis frequently contacts internal and external senior officials professionals and the public regarding sensitive and confidential matters develops interprets and or evaluates compliance with policies and procedures ,,,__label__5 performs work of varied and considerable difficulty requiring advanced data collection analysis forecasting and report writing for internal external tax interstate health insurance and other auditing assignments knowledge of business management operational and financial principles professional auditing standards automated systems budgeting practices key program control points public administration and or legal and regulatory compliance on a state or multi state basis frequently contacts internal and external senior officials professionals and the public regarding sensitive and confidential matters develops interprets and or evaluates compliance with policies and procedures 
5,Audit Services Manager I,performs managerial work of routine to moderate difficulty involving the analysis and interpretation of financial and or operational issues may supervise staff conducting diverse audits or evaluations of a variety of financial or operational functions or have statewide responsibility for a specialized program applies knowledge of professional auditing standards accounting principles public administration and the laws and regulations related to the agencys mission frequent interaction with internal and external customers regarding sensitive and confidential matters requiring verbal and written communication skills ,,,__label__5 performs managerial work of routine to moderate difficulty involving the analysis and interpretation of financial and or operational issues may supervise staff conducting diverse audits or evaluations of a variety of financial or operational functions or have statewide responsibility for a specialized program applies knowledge of professional auditing standards accounting principles public administration and the laws and regulations related to the agencys mission frequent interaction with internal and external customers regarding sensitive and confidential matters requiring verbal and written communication skills 
6,Auditor III,performs work involving the planning and coordinating of multiple projects shifting priorities and designing audit procedures that meet the agencys objectives applies knowledge of generally accepted accounting and auditing principles best practices and internal control standards for multiple computer system platform environments applies knowledge of principles and techniques of subject matter interacts frequently with elected officials and senior executives requiring a high level of communication skills ,,,__label__6 performs work involving the planning and coordinating of multiple projects shifting priorities and designing audit procedures that meet the agencys objectives applies knowledge of generally accepted accounting and auditing principles best practices and internal control standards for multiple computer system platform environments applies knowledge of principles and techniques of subject matter interacts frequently with elected officials and senior executives requiring a high level of communication skills 
6,Audit Services Manager II,plans and directs multiple audits concurrently applies knowledge of financial accounting information systems risk management and auditing functions as well as agency state and federal laws and regulations regarding agency operations business processes and reporting requirements conducts financial technical and edp research when defining audit objectives and procedures conducts or directs investigations of a highly sensitive and confidential nature writes reports and recommendations to agency management audit committees boards or commissions contacts include the public internal and external customers other state agencies all levels of government officials and private organizations to discuss various auditing or management issues ,,,__label__6 plans and directs multiple audits concurrently applies knowledge of financial accounting information systems risk management and auditing functions as well as agency state and federal laws and regulations regarding agency operations business processes and reporting requirements conducts financial technical and edp research when defining audit objectives and procedures conducts or directs investigations of a highly sensitive and confidential nature writes reports and recommendations to agency management audit committees boards or commissions contacts include the public internal and external customers other state agencies all levels of government officials and private organizations to discuss various auditing or management issues 
